日期,最高温度,最低温度,天气状况,风向风力,区域
2019-01-01,6,3,阴~多云,西北风3级,长宁
2019-01-02,8,4,阴~多云,东北风2级,长宁
2019-01-03,10,8,多云~小雨,东北风2级,长宁
2019-01-04,10,8,小雨,东南风2级,长宁
2019-01-05,10,5,小雨,西北风2级,长宁
2019-01-06,8,5,阴~多云,东北风2级,长宁
2019-01-07,8,6,小雨~阴,东北风2级,长宁
2019-01-08,8,5,多云~阴,东北风3级,长宁
2019-01-09,7,6,小雨,东北风3级,长宁
2019-01-10,9,7,小雨,东北风2级,长宁
2019-01-11,9,6,小雨,东北风2级,长宁
2019-01-12,9,6,小雨~阴,西北风2级,长宁
2019-01-13,9,5,阴~多云,西北风2级,长宁
2019-01-14,10,6,多云,东北风2级,长宁
2019-01-15,9,2,小雨~多云,东北风3级,长宁
2019-01-16,6,0,阴~多云,西北风2级,长宁
2019-01-17,8,1,晴~多云,西北风2级,长宁
2019-01-18,11,7,晴~多云,东南风2级,长宁
2019-01-19,13,5,多云~小雨,西南风2级,长宁
2019-01-20,9,2,多云~晴,西北风3级,长宁
2019-01-21,8,2,多云,西北风2级,长宁
2019-01-22,10,2,晴,西北风2级,长宁
2019-01-23,12,4,晴~多云,西北风2级,长宁
2019-01-24,12,5,晴~多云,东南风2级,长宁
2019-01-25,10,2,阴~多云,东北风2级,长宁
2019-01-26,5,1,多云,西北风3级,长宁
2019-01-27,9,3,多云~晴,东南风2级,长宁
2019-01-28,10,6,多云,东北风2级,长宁
2019-01-29,10,8,阴~多云,东南风2级,长宁
2019-01-30,15,4,阴~小雨,东南风2级,长宁
2019-01-31,11,0,小雨~多云,东北风3级,长宁
2019-02-01,8,4,晴,西北风2级,长宁
2019-02-02,14,9,多云~小雨,东南风3级,长宁
2019-02-03,14,7,小雨~阴,西北风3级,长宁
2019-02-04,11,7,多云~晴,东北风2级,长宁
2019-02-05,14,9,小雨,东南风2级,长宁
2019-02-06,16,7,晴~小雨,东南风2级,长宁
2019-02-07,11,4,小雨,东北风4级,长宁
2019-02-08,5,3,小雨,东北风3级,长宁
2019-02-09,4,3,阴~小雨,东北风3级,长宁
2019-02-10,5,3,雨夹雪~小雨,东北风3级,长宁
2019-02-11,6,4,多云~阴,东北风2级,长宁
2019-02-12,9,6,小雨,东北风2级,长宁
2019-02-13,9,4,小雨~中雨,东北风3级,长宁
2019-02-14,8,6,阴~中雨,东北风3级,长宁
2019-02-15,8,4,中雨~小雨,东北风2级,长宁
2019-02-16,6,2,阴~多云,东北风3级,长宁
